action,actuate_ms,device,dispatch_ms,experiment,ms
LIGHT_ON,,drawing_light,,latency,85.41
LIGHT_ON,,drawing_light,,latency,65.86
LIGHT_ON,,drawing_light,,latency,77.59
LIGHT_ON,,drawing_light,,latency,77.1
LIGHT_ON,,drawing_light,,latency,80.63
LIGHT_ON,,drawing_light,,latency,85.29
LIGHT_ON,,drawing_light,,latency,96.05
LIGHT_ON,,drawing_light,,latency,82.13
LIGHT_ON,,drawing_light,,latency,72.74
LIGHT_ON,,drawing_light,,latency,65.24
LIGHT_ON,,relax_light,,latency,72.03
LIGHT_ON,,relax_light,,latency,89.53
LIGHT_ON,,relax_light,,latency,69.79
LIGHT_ON,,relax_light,,latency,66.93
LIGHT_ON,,relax_light,,latency,70.88
LIGHT_ON,,relax_light,,latency,61.67
LIGHT_ON,,relax_light,,latency,66.34
LIGHT_ON,,relax_light,,latency,69.15
LIGHT_ON,,relax_light,,latency,75.2
LIGHT_ON,,relax_light,,latency,79.33
BUZZER_ON,,buzzer,,latency,75.82
BUZZER_ON,,buzzer,,latency,66.67
BUZZER_ON,,buzzer,,latency,61.13
BUZZER_ON,,buzzer,,latency,85.02
BUZZER_ON,,buzzer,,latency,82.94
BUZZER_ON,,buzzer,,latency,74.03
BUZZER_ON,,buzzer,,latency,416.25
BUZZER_ON,,buzzer,,latency,78.39
BUZZER_ON,,buzzer,,latency,76.67
BUZZER_ON,,buzzer,,latency,69.82
TV_ON,,relax_tv,,latency,714.48
TV_ON,,relax_tv,,latency,718.55
TV_ON,,relax_tv,,latency,724.51
TV_ON,,relax_tv,,latency,721.83
TV_ON,,relax_tv,,latency,722.2
TV_ON,,relax_tv,,latency,722.25
TV_ON,,relax_tv,,latency,713.75
TV_ON,,relax_tv,,latency,713.94
TV_ON,,relax_tv,,latency,717.02
TV_ON,,relax_tv,,latency,727.21
OPEN_DOOR,,exit_door,,latency,722.14
OPEN_DOOR,,exit_door,,latency,717.9
OPEN_DOOR,,exit_door,,latency,717.47
OPEN_DOOR,,exit_door,,latency,720.22
OPEN_DOOR,,exit_door,,latency,715.56
OPEN_DOOR,,exit_door,,latency,724.41
OPEN_DOOR,,exit_door,,latency,716.56
OPEN_DOOR,,exit_door,,latency,714.36
OPEN_DOOR,,exit_door,,latency,725.55
OPEN_DOOR,,exit_door,,latency,714.73
OPEN_DOOR,,relax_door,,latency,712.43
OPEN_DOOR,,relax_door,,latency,734.36
OPEN_DOOR,,relax_door,,latency,716.34
OPEN_DOOR,,relax_door,,latency,713.37
OPEN_DOOR,,relax_door,,latency,720.2
OPEN_DOOR,,relax_door,,latency,714.87
OPEN_DOOR,,relax_door,,latency,713.1
OPEN_DOOR,,relax_door,,latency,716.96
OPEN_DOOR,,relax_door,,latency,714.11
OPEN_DOOR,,relax_door,,latency,734.75
LIGHT_ON,63.13,drawing_light,13.43,phases,
LIGHT_ON,62.98,drawing_light,18.85,phases,
LIGHT_ON,48.24,drawing_light,11.66,phases,
LIGHT_ON,60.93,drawing_light,23.79,phases,
LIGHT_ON,60.38,drawing_light,13.17,phases,
LIGHT_ON,62.07,drawing_light,11.88,phases,
LIGHT_ON,60.98,drawing_light,12.49,phases,
LIGHT_ON,47.99,drawing_light,25.0,phases,
LIGHT_ON,69.01,drawing_light,15.1,phases,
LIGHT_ON,50.94,drawing_light,21.52,phases,
LIGHT_ON,60.37,relax_light,34.2,phases,
LIGHT_ON,47.85,relax_light,12.14,phases,
LIGHT_ON,59.4,relax_light,14.71,phases,
LIGHT_ON,69.0,relax_light,13.16,phases,
LIGHT_ON,56.46,relax_light,16.21,phases,
LIGHT_ON,56.58,relax_light,16.99,phases,
LIGHT_ON,65.74,relax_light,16.46,phases,
LIGHT_ON,58.36,relax_light,15.81,phases,
LIGHT_ON,56.96,relax_light,21.96,phases,
LIGHT_ON,54.83,relax_light,45.3,phases,
BUZZER_ON,55.97,buzzer,16.06,phases,
BUZZER_ON,63.68,buzzer,16.56,phases,
BUZZER_ON,50.34,buzzer,18.48,phases,
BUZZER_ON,58.84,buzzer,13.12,phases,
BUZZER_ON,62.58,buzzer,16.32,phases,
BUZZER_ON,51.08,buzzer,19.41,phases,
BUZZER_ON,55.42,buzzer,21.35,phases,
BUZZER_ON,63.09,buzzer,23.39,phases,
BUZZER_ON,57.27,buzzer,25.11,phases,
BUZZER_ON,58.82,buzzer,30.21,phases,
TV_ON,704.87,relax_tv,15.65,phases,
TV_ON,697.76,relax_tv,23.99,phases,
TV_ON,697.69,relax_tv,15.1,phases,
TV_ON,708.33,relax_tv,21.41,phases,
TV_ON,715.42,relax_tv,11.08,phases,
TV_ON,707.55,relax_tv,15.44,phases,
TV_ON,696.09,relax_tv,17.84,phases,
TV_ON,705.09,relax_tv,16.59,phases,
TV_ON,701.54,relax_tv,18.8,phases,
TV_ON,703.95,relax_tv,13.83,phases,
OPEN_DOOR,702.82,exit_door,22.04,phases,
OPEN_DOOR,697.31,exit_door,18.54,phases,
OPEN_DOOR,703.14,exit_door,11.18,phases,
OPEN_DOOR,707.59,exit_door,12.61,phases,
OPEN_DOOR,718.04,exit_door,22.12,phases,
OPEN_DOOR,695.14,exit_door,19.53,phases,
OPEN_DOOR,709.47,exit_door,10.95,phases,
OPEN_DOOR,701.66,exit_door,11.14,phases,
OPEN_DOOR,707.19,exit_door,14.82,phases,
OPEN_DOOR,703.96,exit_door,14.94,phases,
OPEN_DOOR,702.19,relax_door,13.53,phases,
OPEN_DOOR,692.2,relax_door,24.11,phases,
OPEN_DOOR,704.57,relax_door,11.9,phases,
OPEN_DOOR,695.89,relax_door,20.03,phases,
OPEN_DOOR,698.54,relax_door,18.28,phases,
OPEN_DOOR,697.06,relax_door,17.47,phases,
OPEN_DOOR,698.06,relax_door,20.08,phases,
OPEN_DOOR,709.82,relax_door,11.1,phases,
OPEN_DOOR,694.26,relax_door,19.93,phases,
OPEN_DOOR,701.68,relax_door,10.79,phases,
